crop,soil_type,pH,N,P,K,temperature,rainfall,humidity,water_needed,yield
rice,clay,6.63,115,53,25,27.8,123.0,81.2,7.34,4106
rice,clay,6.55,53,48,31,25.1,162.1,44.3,7.87,4694
rice,clay,6.83,105,48,49,20.6,218.9,79.9,7.87,3940
rice,clay,6.82,108,50,60,22.2,61.0,52.6,7.62,4657
rice,clay,6.66,104,53,58,29.8,144.2,83.2,6.64,4217
rice,loamy,6.58,52,22,33,23.4,130.0,66.5,7.55,3789
rice,loamy,6.23,72,28,42,21.2,234.1,51.8,6.16,3757
rice,loamy,6.22,54,44,54,24.1,183.9,58.9,7.75,4371
rice,loamy,6.35,82,49,36,23.6,189.1,46.8,6.13,3870
rice,loamy,6.37,107,37,25,32.2,127.6,82.2,8.1,4008
rice,sandy,6.18,87,47,36,32.1,75.8,64.3,6.51,4177
rice,sandy,6.65,50,53,41,34.5,83.1,50.2,6.47,4547
rice,sandy,6.66,100,49,47,20.7,230.0,79.8,7.06,3783
rice,sandy,6.24,70,54,57,26.4,64.2,58.7,6.41,3795
rice,sandy,6.32,120,50,46,18.7,113.1,53.3,6.3,4603
rice,silty,6.6,115,20,46,24.7,189.3,70.5,6.15,4389
rice,silty,6.27,77,58,21,22.5,202.0,79.8,8.34,4079
rice,silty,6.6,71,59,32,32.1,86.3,84.2,6.35,4650
rice,silty,6.42,114,60,60,22.2,72.7,61.7,8.91,3789
rice,silty,6.18,51,56,53,32.2,116.7,68.7,8.54,4565
rice,black,6.01,91,20,22,28.6,61.8,82.0,8.49,4298
rice,black,6.51,72,30,52,18.1,157.6,63.6,6.25,3921
rice,black,6.62,92,27,35,31.7,156.1,82.8,6.94,4489
rice,black,6.05,79,59,49,32.2,51.0,42.1,7.61,4036
rice,black,6.57,52,33,24,33.3,186.4,62.9,7.51,4165
rice,red,6.93,75,22,59,28.8,184.8,50.7,7.76,4259
rice,red,6.81,104,31,30,28.7,136.6,59.7,8.02,4317
rice,red,6.97,74,59,38,22.2,168.1,42.7,7.99,4065
rice,red,6.86,81,52,58,34.0,78.0,79.4,7.33,4078
rice,red,6.51,115,25,58,19.0,246.7,41.6,7.61,4644
rice,alluvial,6.14,65,52,34,34.7,247.9,42.4,6.19,3933
rice,alluvial,6.91,110,45,57,28.7,217.7,58.2,8.78,4655
rice,alluvial,6.81,73,48,30,28.4,84.3,57.6,8.73,4201
rice,alluvial,6.66,92,29,57,28.9,161.5,67.7,8.89,4590
rice,alluvial,6.84,64,58,52,34.9,162.8,49.7,7.6,4652
wheat,clay,7.25,117,52,42,19.1,102.2,67.2,4.29,3356
wheat,clay,6.86,108,29,22,26.9,166.4,66.0,5.45,3380
wheat,clay,7.49,57,30,40,24.6,182.7,84.6,3.87,3369
wheat,clay,7.37,58,36,50,23.0,137.5,80.7,4.89,3438
wheat,clay,7.31,89,22,50,27.6,125.9,73.3,5.86,2975
wheat,loamy,7.41,88,33,50,22.7,181.5,40.4,4.05,3186
wheat,loamy,6.65,86,32,32,18.4,78.0,60.2,3.75,3247
wheat,loamy,6.91,101,37,38,29.7,181.3,53.3,4.06,3514
wheat,loamy,7.32,70,26,44,28.8,235.4,68.6,5.75,2994
wheat,loamy,6.99,117,24,48,32.9,118.8,46.5,4.46,2996
wheat,sandy,7.29,64,26,45,35.0,152.8,80.8,4.45,3356
wheat,sandy,6.67,70,28,47,21.6,145.3,43.0,3.98,3553
wheat,sandy,6.54,80,40,32,19.4,181.0,68.2,4.26,2902
wheat,sandy,6.65,101,38,29,28.6,214.0,61.6,4.56,2709
wheat,sandy,7.16,50,48,22,33.0,170.2,70.9,4.63,3135
wheat,silty,7.19,53,40,36,21.7,189.6,52.1,4.89,3550
wheat,silty,6.61,66,58,50,22.9,151.1,73.5,4.78,2725
wheat,silty,7.26,83,57,50,29.0,107.3,56.9,4.41,3503
wheat,silty,6.83,86,40,22,21.9,154.0,71.3,3.88,3534
wheat,silty,6.65,103,49,27,28.6,103.1,55.0,5.75,3342
wheat,black,6.59,64,49,44,29.1,151.9,81.6,4.8,3273
wheat,black,6.5,83,38,38,28.4,171.8,43.3,4.28,3600
wheat,black,6.76,76,33,20,28.5,168.2,42.7,5.64,3090
wheat,black,6.53,86,54,25,21.9,204.7,72.9,3.57,3301
wheat,black,7.28,94,28,34,30.7,196.0,71.7,3.99,2795
wheat,red,6.94,99,31,50,29.6,145.8,73.0,5.94,3002
wheat,red,6.93,111,49,55,19.0,95.8,69.4,4.36,2905
wheat,red,7.33,79,47,25,27.9,111.8,49.0,6.49,3384
wheat,red,7.22,58,59,59,24.8,55.9,84.4,5.35,2737
wheat,red,7.28,54,52,52,30.5,247.6,66.3,3.87,3522
wheat,alluvial,7.36,57,21,38,21.9,122.5,57.6,6.4,3531
wheat,alluvial,6.85,99,49,57,19.7,242.0,72.3,5.02,3067
wheat,alluvial,6.64,51,27,49,26.7,138.1,51.4,3.76,3565
wheat,alluvial,6.99,81,21,21,19.0,235.3,63.9,4.62,3630
wheat,alluvial,6.75,60,60,23,22.1,124.9,78.7,5.24,3170
maize,clay,6.01,108,36,29,26.5,176.8,64.1,6.89,3481
maize,clay,6.4,105,26,54,18.4,219.1,50.9,4.64,3820
maize,clay,6.94,74,32,50,18.7,202.9,70.9,6.09,3607
maize,clay,6.38,51,36,35,19.6,120.3,65.8,7.39,3906
maize,clay,6.26,64,29,36,33.6,225.2,65.8,5.28,4207
maize,loamy,6.45,75,39,33,31.5,230.9,78.6,7.09,3522
maize,loamy,6.96,85,27,31,34.7,137.2,63.7,4.83,3583
maize,loamy,6.59,57,26,26,32.1,100.7,51.1,6.53,4181
maize,loamy,6.98,105,43,33,20.4,211.1,69.1,5.71,4085
maize,loamy,6.14,96,54,58,20.5,123.4,55.1,5.49,4013
maize,sandy,6.65,90,60,57,21.1,155.5,50.2,5.19,3718
maize,sandy,6.7,52,36,48,23.1,58.3,65.9,5.64,3533
maize,sandy,6.88,77,28,45,31.3,96.2,52.6,7.02,3855
maize,sandy,6.32,110,56,56,19.0,208.9,69.4,7.08,4071
maize,sandy,6.86,56,53,39,27.9,112.0,63.6,5.96,4142
maize,silty,6.58,58,30,29,26.5,95.9,42.5,6.93,3478
maize,silty,6.84,53,44,55,20.4,203.8,65.0,6.61,4138
maize,silty,6.82,100,20,54,28.8,77.0,47.4,6.83,3740
maize,silty,6.39,53,43,51,33.3,239.0,40.6,6.06,4393
maize,silty,6.17,66,36,20,27.2,93.8,64.1,5.88,4242
maize,black,6.11,77,57,42,26.4,217.5,47.6,5.46,3695
maize,black,6.25,67,30,51,26.5,142.1,62.4,4.69,4282
maize,black,6.21,95,53,58,26.6,138.9,53.1,5.24,3760
maize,black,6.69,64,32,53,25.0,220.2,50.5,5.85,3763
maize,black,6.0,120,33,21,23.3,170.9,74.4,7.13,3419
maize,red,6.47,69,47,50,33.2,167.0,71.5,5.4,3571
maize,red,6.33,110,37,31,27.5,104.9,81.2,5.5,3991
maize,red,6.78,54,31,29,27.6,197.2,80.1,6.56,4026
maize,red,6.75,107,41,36,21.2,75.3,84.8,5.22,4187
maize,red,6.43,50,22,50,31.8,54.0,84.9,5.75,4124
maize,alluvial,6.54,100,58,43,25.9,157.9,75.8,6.56,4239
maize,alluvial,6.36,75,23,28,22.3,170.6,67.8,7.28,4178
maize,alluvial,6.99,95,27,44,26.4,199.3,55.0,6.35,4202
maize,alluvial,6.38,108,38,29,22.9,129.7,72.0,7.09,3787
maize,alluvial,6.1,58,45,43,26.1,75.9,73.4,6.93,3906
cotton,clay,5.87,73,42,51,34.7,192.0,52.8,7.9,1900
cotton,clay,6.49,94,42,28,21.5,77.4,43.1,8.49,2438
cotton,clay,6.26,71,21,48,23.9,179.2,43.8,6.04,2104
cotton,clay,6.13,84,31,47,27.0,234.6,54.7,7.32,1986
cotton,clay,6.9,113,31,51,31.2,223.6,55.1,7.74,1733
cotton,loamy,6.79,105,24,29,32.9,190.7,82.4,8.27,1733
cotton,loamy,6.93,111,49,40,26.0,241.5,48.9,6.14,2419
cotton,loamy,6.42,62,31,37,24.5,47.8,71.3,8.29,2249
cotton,loamy,6.42,67,42,53,33.9,113.2,43.1,7.03,2001
cotton,loamy,6.44,113,35,60,20.1,110.5,60.1,6.83,2414
cotton,sandy,6.81,92,28,46,30.5,126.2,76.2,7.57,1627
cotton,sandy,6.4,52,31,36,28.4,43.3,84.1,5.84,1598
cotton,sandy,6.89,85,24,45,33.0,182.3,58.3,5.9,2419
cotton,sandy,6.47,109,42,32,31.8,198.1,66.0,7.47,1964
cotton,sandy,6.18,74,56,37,34.9,49.1,54.9,8.06,1500
cotton,silty,6.66,85,59,33,22.4,186.8,53.6,8.21,1699
cotton,silty,6.06,64,60,49,28.6,178.5,84.5,7.25,1754
cotton,silty,6.18,66,49,30,18.8,108.3,45.8,7.53,2121
cotton,silty,7.04,89,25,53,30.7,96.3,52.2,6.2,1889
cotton,silty,5.91,56,39,26,25.6,169.8,71.6,7.82,2090
cotton,black,7.08,96,46,20,18.9,177.6,57.5,7.95,2119
cotton,black,7.02,96,56,49,30.4,229.8,73.9,7.29,2027
cotton,black,6.76,53,55,39,32.4,185.0,54.6,5.95,2018
cotton,black,6.46,101,51,53,18.4,227.5,55.1,7.35,2106
cotton,black,7.17,74,39,24,28.3,163.2,73.7,8.43,1624
cotton,red,6.62,50,23,26,27.9,86.1,64.7,8.2,1602
cotton,red,6.57,52,28,28,19.0,174.2,71.1,5.83,1828
cotton,red,7.04,64,29,54,24.6,162.9,47.2,7.7,1783
cotton,red,6.47,81,52,59,19.0,206.7,73.0,5.97,1902
cotton,red,5.86,108,39,51,26.9,204.9,84.7,8.19,2491
cotton,alluvial,6.87,75,35,58,27.1,60.2,70.3,8.37,2458
cotton,alluvial,5.81,77,31,34,27.2,144.9,52.6,5.8,1717
cotton,alluvial,6.8,82,38,39,27.2,213.8,43.8,5.81,1925
cotton,alluvial,5.99,79,43,27,25.4,155.1,43.5,7.73,1669
cotton,alluvial,5.95,67,36,30,29.9,55.2,64.0,5.7,2249
sugarcane,clay,6.45,102,38,45,30.2,196.6,46.2,9.69,69970
sugarcane,clay,7.5,115,39,46,32.8,197.6,49.5,11.41,70234
sugarcane,clay,7.21,99,53,53,31.4,65.1,69.2,8.83,70232
sugarcane,clay,6.21,93,58,27,27.8,171.8,80.8,9.95,69981
sugarcane,clay,7.4,101,58,35,21.7,66.8,71.1,8.84,70060
sugarcane,loamy,7.22,57,50,24,26.6,163.0,79.0,9.47,70124
sugarcane,loamy,7.4,95,29,57,34.7,124.9,56.9,9.59,69829
sugarcane,loamy,7.13,105,49,27,23.7,120.4,52.7,11.06,69973
sugarcane,loamy,6.99,55,58,39,30.7,85.5,57.7,9.87,70458
sugarcane,loamy,6.8,63,24,37,34.8,164.0,83.4,10.85,69687
sugarcane,sandy,6.28,117,40,53,31.5,202.1,41.0,8.56,70350
sugarcane,sandy,6.24,73,45,58,28.5,132.5,74.2,8.77,69741
sugarcane,sandy,7.17,73,40,53,24.9,60.1,45.3,8.85,69927
sugarcane,sandy,6.51,56,43,31,23.2,230.5,68.3,11.15,70480
sugarcane,sandy,6.8,56,20,26,31.5,193.9,79.0,8.72,70418
sugarcane,silty,6.21,60,37,59,31.1,108.6,54.9,10.88,69886
sugarcane,silty,6.95,115,20,49,22.3,151.9,59.3,10.96,70462
sugarcane,silty,6.54,77,49,24,24.4,79.2,70.9,10.8,69934
sugarcane,silty,7.06,88,52,45,33.3,237.1,82.1,10.01,69722
sugarcane,silty,6.62,111,41,30,28.2,88.1,54.1,9.05,70056
sugarcane,black,7.47,63,31,47,28.3,107.0,55.1,9.69,70025
sugarcane,black,7.23,50,34,34,34.4,154.8,61.7,9.06,69545
sugarcane,black,6.54,115,30,60,34.1,86.7,78.3,8.83,70076
sugarcane,black,7.01,102,58,28,33.6,91.2,68.1,10.28,69979
sugarcane,black,6.05,117,32,41,18.1,249.6,74.5,9.82,69996
sugarcane,red,6.23,50,42,22,26.8,222.4,42.8,10.88,69665
sugarcane,red,7.01,92,28,32,22.5,93.0,68.8,9.45,69766
sugarcane,red,7.33,65,50,53,26.9,165.5,53.0,9.39,69792
sugarcane,red,6.72,116,28,60,33.9,154.4,47.5,10.87,70061
sugarcane,red,6.62,50,45,46,34.5,81.7,44.5,10.71,69504
sugarcane,alluvial,7.12,98,27,47,22.6,141.1,60.2,9.74,69772
sugarcane,alluvial,6.43,52,39,56,22.5,195.5,76.3,11.22,70060
sugarcane,alluvial,7.3,106,27,23,19.7,47.2,58.8,9.06,70168
sugarcane,alluvial,7.36,83,22,29,32.2,140.2,56.2,10.72,70198
sugarcane,alluvial,6.44,118,23,50,32.0,134.3,73.7,8.75,69700
millet,clay,6.5,116,51,43,26.6,234.0,49.4,4.4,2021
millet,clay,5.58,60,53,35,20.3,78.6,67.7,3.71,1360
millet,clay,6.37,85,47,56,26.7,109.4,51.4,5.5,1909
millet,clay,5.91,68,27,38,27.8,72.8,43.5,4.19,1481
millet,clay,5.6,81,57,50,32.2,143.4,64.1,2.6,1454
millet,loamy,5.76,79,30,46,28.3,104.8,64.5,4.36,1327
millet,loamy,6.03,115,54,39,32.1,100.8,53.9,2.69,1742
millet,loamy,6.62,106,51,42,27.1,79.4,51.6,2.79,1962
millet,loamy,6.53,99,49,39,18.7,233.5,42.9,3.71,1509
millet,loamy,6.04,89,20,23,29.5,95.1,40.2,3.63,2117
millet,sandy,5.7,65,24,37,34.5,64.2,51.6,3.6,2031
millet,sandy,6.21,109,55,20,34.8,130.9,64.5,2.67,1403
millet,sandy,5.54,114,36,54,25.9,123.0,48.4,2.58,1824
millet,sandy,5.5,78,40,51,18.7,174.3,54.2,3.29,1925
millet,sandy,6.23,58,51,60,19.1,87.9,54.1,3.15,1565
millet,silty,6.35,55,34,39,28.8,101.5,58.2,2.52,2168
millet,silty,6.17,53,34,20,34.1,69.6,73.1,2.61,1661
millet,silty,5.86,92,53,21,23.4,197.7,61.8,3.8,2086
millet,silty,6.05,110,45,26,27.3,156.8,61.0,3.96,2034
millet,silty,5.52,97,48,53,33.1,247.9,66.5,4.57,1437
millet,black,6.24,113,48,21,34.0,189.8,65.0,2.82,1306
millet,black,6.57,119,28,40,30.2,47.0,64.5,5.41,2107
millet,black,5.58,84,29,46,27.1,44.6,67.6,5.38,1705
millet,black,5.87,107,33,32,29.3,71.7,41.8,2.59,2125
millet,black,5.82,100,29,40,33.5,196.0,58.8,5.32,1902
millet,red,6.11,96,60,51,33.0,128.5,65.3,4.65,1390
millet,red,6.53,74,48,30,33.5,52.0,62.5,3.07,1856
millet,red,6.14,62,59,57,31.2,182.3,77.4,5.26,1602
millet,red,5.51,79,38,58,29.6,147.2,45.1,4.18,1856
millet,red,5.61,65,60,43,23.2,112.7,55.4,3.9,1428
millet,alluvial,6.7,89,57,32,19.9,207.8,68.3,4.61,1478
millet,alluvial,6.78,76,30,28,21.3,215.6,56.5,5.38,1795
millet,alluvial,5.82,97,20,59,32.2,244.4,62.7,5.33,2107
millet,alluvial,6.54,93,59,44,31.2,242.0,41.1,4.33,1781
millet,alluvial,5.9,63,58,42,19.9,229.2,80.7,4.51,2068
barley,clay,6.18,79,33,43,20.7,197.0,58.3,3.1,2452
barley,clay,6.44,66,32,52,26.3,98.3,44.3,5.7,2801
barley,clay,6.63,104,37,32,32.5,246.4,42.0,5.83,2443
barley,clay,7.4,76,51,26,19.3,137.5,46.5,5.26,2403
barley,clay,7.19,51,40,52,20.7,123.7,56.1,5.95,2748
barley,loamy,7.36,85,40,57,24.1,174.4,53.5,5.7,2455
barley,loamy,7.44,63,41,34,26.4,229.7,58.3,5.44,2378
barley,loamy,6.51,72,50,45,22.3,55.5,47.8,5.63,3233
barley,loamy,6.09,97,36,29,25.9,87.2,63.3,5.12,2331
barley,loamy,6.52,75,48,30,31.2,176.3,40.2,4.41,3037
barley,sandy,6.66,85,39,36,34.8,52.5,83.7,5.1,2908
barley,sandy,6.5,100,56,49,27.7,92.4,81.3,3.22,3051
barley,sandy,7.39,74,21,50,30.7,211.1,68.1,5.01,3135
barley,sandy,6.65,66,40,36,21.9,232.3,71.5,4.54,3149
barley,sandy,7.4,107,42,47,21.0,182.1,49.8,4.03,2599
barley,silty,6.5,88,46,46,26.3,115.1,55.4,4.29,2794
barley,silty,6.82,87,48,21,34.2,243.2,48.1,4.21,2660
barley,silty,7.09,117,49,25,18.7,105.8,69.9,5.07,2968
barley,silty,6.63,74,59,34,30.3,226.9,76.9,5.45,2566
barley,silty,7.2,52,50,21,21.6,72.5,57.6,3.36,3183
barley,black,6.18,75,21,55,24.8,63.7,74.4,3.9,2613
barley,black,6.28,88,59,57,32.7,95.4,58.2,3.87,2302
barley,black,6.0,103,52,34,30.9,139.1,79.4,4.43,2642
barley,black,6.28,117,26,34,24.6,232.3,47.7,4.52,2742
barley,black,6.98,54,40,23,18.5,44.2,76.6,5.13,2408
barley,red,6.53,109,51,52,22.3,113.7,82.0,3.39,2492
barley,red,6.59,94,28,28,29.5,246.6,64.2,5.49,2598
barley,red,6.19,66,56,48,24.9,182.3,43.0,3.22,3142
barley,red,6.42,81,25,34,25.1,177.5,42.0,5.99,2729
barley,red,6.24,50,55,41,22.0,57.9,42.3,4.16,2407
barley,alluvial,7.2,68,32,42,26.6,68.6,68.9,3.43,2900
barley,alluvial,6.87,66,41,37,32.1,187.6,54.4,4.76,2510
barley,alluvial,7.19,53,42,28,21.9,177.1,83.9,5.47,3115
barley,alluvial,6.14,87,31,27,23.2,136.5,75.9,3.18,2497
barley,alluvial,6.07,100,23,32,30.1,241.5,57.0,5.33,3281
soybean,clay,6.57,80,44,53,29.1,81.1,83.9,6.63,2159
soybean,clay,6.02,54,21,26,26.5,215.5,61.3,4.77,2183
soybean,clay,6.56,113,24,28,28.2,58.4,55.4,5.14,2325
soybean,clay,6.27,116,56,48,29.8,227.3,59.7,6.68,2575
soybean,clay,6.41,92,40,32,23.5,192.9,54.0,5.08,2185
soybean,loamy,6.84,111,60,56,27.9,155.6,51.0,4.43,2282
soybean,loamy,6.51,110,49,35,28.8,161.4,60.1,4.86,2841
soybean,loamy,6.74,61,60,46,33.8,48.0,40.7,5.3,2625
soybean,loamy,6.68,91,25,20,30.6,180.7,71.1,6.39,2867
soybean,loamy,6.79,54,37,48,22.2,223.6,75.3,4.64,2590
soybean,sandy,6.38,92,36,50,20.7,57.6,49.9,5.56,2205
soybean,sandy,6.4,84,25,35,30.5,74.4,44.0,4.66,2746
soybean,sandy,6.1,95,51,27,22.7,242.2,85.0,6.13,2142
soybean,sandy,6.16,50,23,33,23.3,203.0,84.6,4.75,2572
soybean,sandy,6.1,72,50,49,32.7,125.8,53.0,6.89,2051
soybean,silty,6.27,71,28,44,33.7,80.9,44.3,6.18,2922
soybean,silty,6.29,70,24,28,27.8,158.6,65.7,5.11,2478
soybean,silty,6.61,110,46,43,34.3,156.6,73.6,6.95,2714
soybean,silty,6.3,109,47,40,19.9,125.4,64.9,4.72,2791
soybean,silty,6.58,50,40,47,26.3,97.5,73.0,4.46,2165
soybean,black,6.89,105,44,33,29.8,65.7,58.0,4.22,2163
soybean,black,6.37,74,22,49,28.0,59.8,65.0,6.89,2218
soybean,black,6.92,52,43,56,22.0,173.0,58.2,6.49,2929
soybean,black,6.01,61,35,50,31.0,76.2,62.7,6.07,2188
soybean,black,6.95,80,24,41,27.7,83.0,66.3,5.05,2502
soybean,red,6.79,103,29,24,33.8,128.6,60.1,5.22,2633
soybean,red,6.52,114,53,26,31.4,187.1,55.6,4.38,2282
soybean,red,6.91,117,51,49,30.0,231.9,74.4,6.15,2194
soybean,red,6.37,91,36,57,29.6,155.5,45.9,6.61,2100
soybean,red,6.63,103,47,46,24.1,215.9,81.8,5.74,2040
soybean,alluvial,6.0,50,26,56,30.2,155.1,41.6,5.19,2353
soybean,alluvial,6.35,114,50,33,32.3,168.9,55.6,5.77,2527
soybean,alluvial,6.34,56,38,27,34.0,43.8,83.0,5.64,2849
soybean,alluvial,6.94,113,60,47,21.6,114.1,57.3,4.02,2269
soybean,alluvial,6.22,109,39,20,20.7,241.9,64.1,6.71,2652
groundnut,clay,6.03,59,52,30,27.8,93.5,76.2,5.25,2412
groundnut,clay,6.68,92,60,55,20.9,139.9,41.7,6.46,2493
groundnut,clay,6.7,115,49,43,19.6,53.8,57.8,4.99,2728
groundnut,clay,6.73,105,37,36,26.5,64.3,54.1,4.74,1839
groundnut,clay,6.7,93,52,58,34.9,47.2,75.4,4.38,2705
groundnut,loamy,6.51,80,51,41,28.6,223.0,49.3,5.31,2138
groundnut,loamy,6.03,96,55,53,31.5,170.9,54.4,5.73,2720
groundnut,loamy,6.54,67,48,26,27.0,158.7,75.3,5.01,2721
groundnut,loamy,6.47,76,27,43,19.7,49.2,57.5,6.32,2153
groundnut,loamy,6.41,113,31,45,20.6,111.8,83.1,3.92,2704
groundnut,sandy,6.73,72,50,50,32.2,153.3,46.0,4.85,2597
groundnut,sandy,6.77,52,48,53,25.5,212.9,44.2,6.37,1998
groundnut,sandy,6.75,63,26,32,28.3,50.9,76.5,4.11,2692
groundnut,sandy,6.24,53,22,60,29.0,245.7,49.2,4.16,2409
groundnut,sandy,6.46,78,47,55,31.5,106.3,67.9,3.81,2272
groundnut,silty,6.7,69,57,24,20.1,224.8,45.8,6.38,1928
groundnut,silty,6.09,86,33,46,34.5,53.9,83.3,6.15,2143
groundnut,silty,6.53,89,45,27,31.4,211.2,56.3,5.86,2122
groundnut,silty,6.51,56,20,59,28.7,213.2,65.9,5.03,2328
groundnut,silty,6.05,63,48,42,33.8,173.6,60.1,5.55,2388
groundnut,black,6.11,89,49,27,34.7,102.4,69.3,3.75,1856
groundnut,black,6.16,96,34,33,31.6,231.6,56.3,3.71,2224
groundnut,black,6.76,50,52,39,28.3,54.5,68.9,4.57,1884
groundnut,black,6.13,66,53,53,18.6,42.2,48.4,5.05,2569
groundnut,black,6.48,64,48,51,20.1,88.5,56.6,3.72,2309
groundnut,red,6.21,55,42,20,33.9,203.6,76.1,5.03,1924
groundnut,red,6.36,96,60,29,26.2,199.4,53.6,4.77,1882
groundnut,red,6.36,66,36,25,32.5,86.1,57.2,6.3,2331
groundnut,red,6.52,52,40,22,21.7,56.6,71.5,4.47,2523
groundnut,red,6.72,75,48,20,30.6,44.8,61.0,4.08,2431
groundnut,alluvial,6.07,74,45,44,22.2,238.3,77.2,5.83,1829
groundnut,alluvial,6.57,71,42,45,19.3,80.8,51.0,5.12,1926
groundnut,alluvial,6.48,68,45,54,32.1,174.8,44.3,6.08,1808
groundnut,alluvial,6.61,109,55,59,18.1,54.1,70.1,6.4,2561
groundnut,alluvial,6.32,111,44,31,24.2,169.2,81.6,3.99,2165
potato,clay,6.37,91,27,60,25.7,72.0,80.5,5.01,30287
potato,clay,6.36,57,35,55,26.6,76.4,58.1,6.5,30142
potato,clay,6.16,78,45,50,27.5,166.4,84.3,5.97,29633
potato,clay,5.97,93,35,29,19.5,118.6,53.5,6.05,30190
potato,clay,6.07,68,21,54,20.2,54.8,60.4,5.31,29814
potato,loamy,6.33,113,27,40,19.3,215.6,74.1,5.07,30106
potato,loamy,6.47,99,41,59,26.9,121.8,63.3,6.07,30475
potato,loamy,6.35,118,38,51,33.6,97.1,78.6,5.93,30007
potato,loamy,5.97,104,29,35,34.5,166.6,45.0,5.67,30344
potato,loamy,5.62,120,21,26,26.8,83.3,40.1,5.53,30408
potato,sandy,6.04,89,44,45,27.3,122.0,62.4,5.76,29563
potato,sandy,6.0,110,59,32,28.6,125.0,76.0,5.6,29875
potato,sandy,5.89,102,39,57,24.7,59.9,79.8,7.72,30022
potato,sandy,5.79,84,58,42,26.9,135.0,55.2,7.13,29770
potato,sandy,6.22,79,24,22,27.5,129.4,67.4,5.48,30160
potato,silty,5.96,56,41,34,26.1,129.4,84.2,7.35,30306
potato,silty,6.03,106,32,51,30.0,243.6,56.7,5.25,30094
potato,silty,6.43,119,45,45,32.0,171.7,43.7,7.64,29896
potato,silty,6.27,87,55,30,23.4,178.0,70.9,7.54,30409
potato,silty,6.08,51,26,26,21.8,171.5,77.1,5.03,29531
potato,black,6.27,81,42,42,21.5,194.0,73.3,5.19,29932
potato,black,5.67,93,40,37,23.9,86.5,75.0,6.96,29626
potato,black,6.38,75,26,36,22.5,95.0,44.7,6.68,29813
potato,black,5.56,56,41,44,31.8,47.6,55.2,7.28,29828
potato,black,5.93,94,49,35,25.6,217.0,63.2,6.69,30408
potato,red,5.94,56,60,40,18.0,169.6,53.2,5.71,29866
potato,red,6.21,65,27,25,30.4,208.3,53.9,6.37,30036
potato,red,6.05,118,30,36,19.3,93.4,58.7,7.13,30083
potato,red,5.86,82,25,40,30.4,156.2,67.2,5.65,29945
potato,red,5.81,81,59,50,26.2,81.9,68.6,7.98,29994
potato,alluvial,6.3,120,50,26,19.8,135.7,50.7,6.2,29533
potato,alluvial,6.2,79,33,49,21.9,210.3,67.8,6.52,29502
potato,alluvial,6.35,57,23,43,27.1,247.7,52.4,6.92,29768
potato,alluvial,6.16,89,24,20,21.0,53.3,57.7,6.17,30017
potato,alluvial,6.18,69,56,57,19.6,209.7,81.0,6.59,29937
